2005;1;RME;500;
2005;1;Food;589;
2005;2;Education;9890;
2005;2;Health;500;
2005;3;Transportation;6834;
2005;3;RME;3567;
2005;4;Social;3450;
2005;4;Sports;3456;
2005;5;Clothing;535;
2005;5;Food;3455;
2005;5;Education;2546;
2005;5;Health;2345;
2005;5;Sports;3556;
2005;6;RME;2345;
2005;6;Others;5345;
2005;6;Food;35345;
2005;7;RME;5895;
2005;8;RME;5895;
2005;9;RME;5895;
2005;10;RME;5895;
2005;11;RME;5895;
2005;12;RME;55;
2006;1;Food;111;
2006;1;Health;111;
2006;1;Installments;125;
2006;2;Others;1124;
2006;3;Food;7751;
2006;4;Sports;332;
2006;4;Clothes;339;
2006;4;Transportation;1123;
2006;5;Food;1125;
2006;5;RME;1841;
2006;6;Entertainment;4556;
2006;6;Clothes;428;
2006;7;RME;7796;
2006;8;Health;2345;
2006;8;Amusement;1123;
2006;9;Health;2356;
2006;11;RME;3553;
2006;12;Food;5665;
2006;12;Clothes;3565;
2006;12;Amusement;2353;
2006;12;RME;3663;
2007;1;RME;114;
2007;1;Food;1145;
2007;1;Clothing;1156;
2007;1;Amusement;9754;
2007;2;RME;1475;
2007;3;RME;2445;
2007;4;RME;2475;
2007;5;RME;2675;
2007;6;RME;2475;
2007;7;RME;2475;
2007;8;RME;2471;
2007;9;RME;2375;
2007;10;RME;2475;
2007;11;RME;2475;
2007;12;RME;2475;
2008;1;RME;1147;
